season,week,game_id,home_team,away_team,result,spread_line,predicted_margin,model_edge,pass_edge,rush_edge,rest_diff,wind,dome,qb_change_home,qb_change_away,injury_edge,home_cover_margin,home_covers,p_home_covers,side,p_side_covers,side_covers
2004,1,2004_01_TEN_MIA,MIA,TEN,-10.0,-3.0,2.402817061120852,5.402817061120852,-0.1493594399629235,0.0185831498028922,0,7.0,0,0,0,0.0,-7.0,0,0.5257225974879183,home,0.5257225974879183,0
2004,1,2004_01_JAX_BUF,BUF,JAX,-3.0,3.0,2.783891099468809,-0.2161089005311911,-0.3070763971158631,0.0047999205193268,0,12.0,0,0,0,0.0,-6.0,0,0.4947599234055861,away,0.5052400765944138,1
2004,1,2004_01_DET_CHI,CHI,DET,-4.0,1.5,-1.1574706350385275,-2.6574706350385275,-0.0117683537148046,0.0210216816132581,0,5.0,0,1,0,0.0,-5.5,0,0.4813055488611994,away,0.5186944511388005,1
2004,1,2004_01_BAL_CLE,CLE,BAL,17.0,-3.5,3.391938577497164,6.891938577497164,0.1341734087758302,0.170345341093497,0,6.0,0,1,1,0.0,20.5,1,0.5339049829455602,home,0.5339049829455602,1
2004,1,2004_01_SEA_NO,NO,SEA,-14.0,-2.5,2.150516902206002,4.650516902206002,-0.0769387545036374,0.0186331391847515,0,0.0,1,0,0,0.0,-11.5,0,0.5215833423719509,home,0.5215833423719509,0
2004,1,2004_01_CIN_NYJ,NYJ,CIN,7.0,5.5,5.618956920498932,0.118956920498932,-0.0370293630584973,-0.0645676107400352,0,5.0,0,0,1,0.0,1.5,1,0.49660750571027307,home,0.49660750571027307,1
2004,1,2004_01_TB_WAS,WAS,TB,6.0,2.5,-0.9140945066322176,-3.414094506632217,-0.0336688627832015,0.0895057568895468,0,5.0,0,1,0,0.0,3.5,1,0.47714037179769275,away,0.5228596282023072,0
2004,1,2004_01_DAL_MIN,MIN,DAL,18.0,6.5,6.378579236633818,-0.1214207633661823,0.1698750991500226,0.0871814146068715,0,0.0,1,0,1,0.0,11.5,1,0.49528202977318375,away,0.5047179702268163,0
2004,1,2004_01_NYG_PHI,PHI,NYG,14.0,9.5,7.298009085381859,-2.2019909146181407,0.0945963050685014,0.2254500198377251,0,8.0,0,0,1,0.0,4.5,1,0.4838142328399061,away,0.5161857671600939,0
2004,1,2004_01_ATL_SF,SF,ATL,-2.0,-3.0,-0.1627431124393981,2.837256887560602,0.0788138585183928,-0.0725493961172715,0,15.0,0,1,0,0.0,1.0,1,0.5115954526414569,home,0.5115954526414569,1
2004,1,2004_01_KC_DEN,DEN,KC,10.0,3.0,3.0765805514064324,0.0765805514064323,-0.1176261303138318,-0.0746871778553476,0,15.0,0,0,0,0.0,7.0,1,0.49637383253241185,home,0.49637383253241185,1
2004,1,2004_01_GB_CAR,CAR,GB,-10.0,3.0,1.6968259967395056,-1.3031740032604944,-0.0849308912070601,-0.1167476628987742,0,5.0,0,0,0,0.0,-13.0,0,0.4887669961614115,away,0.5112330038385885,1
2004,2,2004_02_PIT_BAL,BAL,PIT,17.0,4.0,-0.794182793695013,-4.794182793695013,-0.1876760716299138,-0.0870822317319025,0,13.0,0,1,0,0.0,13.0,1,0.46955164305866826,away,0.5304483569413317,0
2004,2,2004_02_HOU_DET,DET,HOU,12.0,3.0,1.8965068422646865,-1.1034931577353135,-0.1398642910089617,-0.0264318316021335,0,0.0,1,0,0,0.0,9.0,1,0.48986763406359707,away,0.510132365936403,0
2004,2,2004_02_CHI_GB,GB,CHI,-11.0,9.0,7.096380873050917,-1.9036191269490832,0.1815888237596917,-0.0397452892840766,-1,15.0,0,0,1,0.0,-20.0,0,0.4854580504802768,away,0.5145419495197232,1
2004,2,2004_02_DEN_JAX,JAX,DEN,1.0,-3.0,2.348558436208431,5.348558436208431,0.0916886702709482,-0.3238216490666948,0,15.0,0,0,0,0.0,4.0,1,0.5254241707749917,home,0.5254241707749917,1
2004,2,2004_02_CAR_KC,KC,CAR,-11.0,7.0,4.986385137025668,-2.0136148629743325,-0.0392785846115206,0.4457308859614959,1,12.0,0,0,0,0.0,-18.0,0,0.4848520132212135,away,0.5151479867787865,1
2004,2,2004_02_SF_NO,NO,SF,3.0,7.5,5.555936234309721,-1.944063765690279,0.0742211935593663,-0.0920613609159242,0,0.0,1,0,1,0.0,-4.5,0,0.4852352098855857,away,0.5147647901144143,1
2004,2,2004_02_WAS_NYG,NYG,WAS,6.0,-3.0,4.158405420018493,7.158405420018493,0.2630063014933972,0.0070907754275463,0,16.0,0,1,1,0.0,9.0,1,0.5353673632741507,home,0.5353673632741507,1
2004,2,2004_02_IND_TEN,TEN,IND,-14.0,-1.5,2.221063234510817,3.721063234510817,-0.2345597583922238,-0.1213909419189081,-2,13.0,0,0,0,0.0,-12.5,0,0.5164653307662722,home,0.5164653307662722,0
2004,2,2004_02_SEA_TB,TB,SEA,-4.0,-3.0,2.352508258558724,5.352508258558724,-0.2399271685091525,0.0019019810912415,0,8.0,0,0,0,0.0,-1.0,0,0.5254458957246863,home,0.5254458957246863,0
2004,2,2004_02_NE_ARI,ARI,NE,-11.0,-8.0,-0.6214630100725183,7.378536989927482,-0.0709130454116995,-0.0367401970480183,-3,15.0,0,1,0,0.0,-3.0,0,0.5365749964143971,home,0.5365749964143971,0
2004,2,2004_02_CLE_DAL,DAL,CLE,7.0,4.5,3.86159479095995,-0.6384052090400498,0.3063025835977927,0.0456759699535204,0,12.0,0,1,1,0.0,2.5,1,0.49243155461757226,away,0.5075684453824277,0
