season,week,game_id,home_team,away_team,result,spread_line,predicted_margin,model_edge,pass_edge,rush_edge,rest_diff,wind,dome,qb_change_home,qb_change_away,injury_edge,home_cover_margin,home_covers,p_home_covers,side,p_side_covers,side_covers
2004,1,2004_01_TEN_MIA,MIA,TEN,-10.0,-3.0,2.402817061120852,5.402817061120852,-0.1493594399629235,0.0185831498028922,0,7.0,0,0,0,0.0,-7.0,0,0.4854966002902185,home,0.4854966002902185,0
2004,1,2004_01_JAX_BUF,BUF,JAX,-3.0,3.0,2.783891099468809,-0.2161089005311911,-0.3070763971158631,0.0047999205193268,0,12.0,0,0,0,0.0,-6.0,0,0.4834130148471024,away,0.5165869851528976,1
2004,1,2004_01_DET_CHI,CHI,DET,-4.0,1.5,-1.1574706350385275,-2.6574706350385275,-0.0117683537148046,0.0210216816132581,0,5.0,0,1,0,0.0,-5.5,0,0.4872413738946212,away,0.5127586261053788,1
2004,1,2004_01_BAL_CLE,CLE,BAL,17.0,-3.5,3.391938577497164,6.891938577497164,0.1341734087758302,0.170345341093497,0,6.0,0,1,1,0.0,20.5,1,0.5519915408513324,home,0.5519915408513324,1
2004,1,2004_01_SEA_NO,NO,SEA,-14.0,-2.5,2.150516902206002,4.650516902206002,-0.0769387545036374,0.0186331391847515,0,0.0,1,0,0,0.0,-11.5,0,0.4856787533235144,home,0.4856787533235144,0
2004,1,2004_01_CIN_NYJ,NYJ,CIN,7.0,5.5,5.618956920498932,0.118956920498932,-0.0370293630584973,-0.0645676107400352,0,5.0,0,0,1,0.0,1.5,1,0.5216316326596573,home,0.5216316326596573,1
2004,1,2004_01_TB_WAS,WAS,TB,6.0,2.5,-0.9140945066322176,-3.414094506632217,-0.0336688627832015,0.0895057568895468,0,5.0,0,1,0,0.0,3.5,1,0.49564223179993416,away,0.5043577682000658,0
2004,1,2004_01_DAL_MIN,MIN,DAL,18.0,6.5,6.378579236633818,-0.1214207633661823,0.1698750991500226,0.0871814146068715,0,0.0,1,0,1,0.0,11.5,1,0.5407962376644972,away,0.45920376233550275,0
2004,1,2004_01_NYG_PHI,PHI,NYG,14.0,9.5,7.298009085381859,-2.2019909146181407,0.0945963050685014,0.2254500198377251,0,8.0,0,0,1,0.0,4.5,1,0.5575223893501104,away,0.44247761064988955,0
2004,1,2004_01_ATL_SF,SF,ATL,-2.0,-3.0,-0.1627431124393981,2.837256887560602,0.0788138585183928,-0.0725493961172715,0,15.0,0,1,0,0.0,1.0,1,0.47592288240154434,home,0.47592288240154434,1
2004,1,2004_01_KC_DEN,DEN,KC,10.0,3.0,3.0765805514064324,0.0765805514064323,-0.1176261303138318,-0.0746871778553476,0,15.0,0,0,0,0.0,7.0,1,0.4740754559840275,home,0.4740754559840275,1
